id,adr,lat,long
65,ROUTE DÉPARTEMENTALE 630,334191.0,5025869.0
66,CD.148,325313.0,5027251.0
67,chemin de la bridoulette,394567.0,5011192.0
68,RD962,390521.0,5012195.0
69,route d'Avesnes - RD424,387328.0,5010249.0
70,Rue de guersignies,395496.0,5012848.0
71,CD962,386769.0,5012547.0
72,face au 106 route d'Etro,393044.0,5009399.0
73,route de chevireuil,387547.0,5005212.0
74,Route nationale 2,392867.0,5006802.0
75,route d'étroeungt,393185.0,5011315.0
76,lieu dit les Quatre Mais,393376.0,5006641.0
77,rue des plaques,383768.0,5006925.0
78,route de Cartignies,386039.0,5012217.0
79,"rd 424, ROUTE DE CARTIGN",387925.0,5010269.0
80,CD 951,397305.0,5010072.0
81,Route de cartignies,390095.0,5010887.0
82,Mont Dourlers,395466.0,5017510.0
83,47 rue du Maire Coppeaux,405349.0,5001776.0
84,102 rue d'Anor,405287.0,5000429.0
85,D42,402831.0,5002882.0
86,rue marceau batteux,405801.0,5000682.0
87,Rue Pasteur,352506.0,5007831.0
88,17 avenue de la groise,365392.0,5007630.0
89,D643 - rond point direct,353644.0,5010640.0
90,place du cdt Edou,354180.0,5010585.0
91,62 rue charles seydoux,353709.0,5010650.0
92,Rue du pommereuil,359892.0,5009996.0
93,D959,364089.0,5011673.0
94,boulevard paturle,353586.0,5010616.0
95,38 rue faidherbe,354043.0,5009430.0
96,RUE DE FOREST,359092.0,5012243.0
97,Rue du Cateau,357744.0,5009536.0
98,rue de Cambrai,340654.0,5012280.0
99,Rue Roger Salengro,338400.0,5013069.0
100,rue aristide briand,341491.0,5012306.0
101,27 rue Saint Gall,341533.0,5011949.0
102,RD643,341709.0,5013282.0
103,rue Jules Guesde,340715.0,5012606.0
104,rue de Saint Quentin,340750.0,5011141.0
105,rue stephenson,341769.0,5012707.0
106,rue aristide birand,342028.0,5012199.0
107,D643,347853.0,5011850.0
108,Rue de la République,340700.0,5012748.0
109,RD643,344331.0,5012674.0
110,D134,346442.0,5012805.0
111,D643,335815.0,5014634.0
112,203 rue de la république,340264.0,5013212.0
113,CD643,318105.0,5021603.0
114,Sentier de la montagne,327766.0,5020723.0
115,RD 152,326042.0,5022120.0
116,CD630,330035.0,5021577.0
117,rue clémenceau,331964.0,5022818.0
118,RD 114,331097.0,5019919.0
119,D29,319800.0,5014496.0
120,D 56,317104.0,5011780.0
121,rue de Trescault,312359.0,5006112.0
122,D644,321532.0,5013358.0
123,D40,349355.0,5026158.0
124,rue de la cavée,349469.0,5018992.0
125,rue Jules guesdes,349098.0,5018116.0
126,D643,313370.0,5030458.0
127,Départementale 65,309514.0,5032874.0
128,RD  25A,308070.0,5033107.0
129,Rue de l'abbaye,313908.0,5026735.0
130,D643,316014.0,5027155.0
131,rue Jacques DUCLOS,310820.0,5027761.0
132,40 rue de la chaussée,310067.0,5027459.0
133,rd 643,313323.0,5031633.0
134,rue d' Ecourt,303702.0,5027267.0
135,Rue Salvador Allendé,309557.0,5028442.0
136,26 rue d'orchies,329660.0,5047622.0
137,D549,320071.0,5048724.0
138,CD 938,326769.0,5050184.0
139,RUE FIEVET,325992.0,5044808.0
140,CD938,326542.0,5049726.0
141,CD 938,323912.0,5047741.0
142,346 route nationale,321157.0,5046114.0
143,CD 938,320258.0,5045404.0
144,Rue du Fief,323379.0,5043629.0
145,rue du marechal leclerc,329625.0,5047205.0
146,chemin de terre,326546.0,5046814.0
147,Rue des martyrs,321153.0,5047841.0
148,route nationale,313692.0,5046246.0
149,D549,320767.0,5048156.0
150,"CD430,route de l'Houssoy",320254.0,5046247.0
151,rue du moulin,324525.0,5050121.0
152,CD 938,325573.0,5048337.0
153,Rue du noir débout,320902.0,5047821.0
154,rue de faches,319328.0,5045501.0
155,rue du carniau,381237.0,5027105.0
156,chaussée brunéhaut,376508.0,5027829.0
157,rue de mons,397746.0,5030491.0
158,42 rue de la gare,378559.0,5029791.0
159,RD 649,374359.0,5030747.0
160,Route Nationale,375372.0,5030276.0
161,"chemin de roisin, CD154",377683.0,5027313.0
162,286 Rue Berlandois,366747.0,5025591.0
163,52 bis rue de Sepmeries,358011.0,5026367.0
164,Chaussée Brunéhaut,371628.0,5024378.0
165,1012 rue du cheval blanc,370720.0,5027426.0
166,rue des marlières,358103.0,5023765.0
167,Place de la gare,364528.0,5024921.0
168,Autoroute A.16,166890.0,5078079.0
169,Autoroute A16,173293.0,5085870.0
170,autoroute A 16 sens Boul,167390.0,5079876.0
171,A16,169462.0,5081368.0
172,Autoroute A16 - sens Bou,174959.0,5087298.0
173,"Autoroute A.16, sens CAL",164825.0,5072365.0
174,d341,271723.0,5033086.0
175,D55,278041.0,5038960.0
176,Intersection D56 & D339,268878.0,5031739.0
177,Chemin d'Avion,282154.0,5038573.0
178,Départementale 931,269426.0,5034506.0
179,D937,269430.0,5034511.0
180,RUE DE VIMY,277335.0,5036304.0
181,RD 57,268420.0,5039367.0
182,D341,271749.0,5033070.0
183,Rond point de THELUS. RN,278761.0,5035082.0
184,54 rue mermoz,281973.0,5036350.0
185,RD950,291567.0,5033286.0
